,Identifier,contractSymbol,lastTradeDate,Last Sell Time,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
61,MSFT210129P00220000,2021-01-28,20:57:27,220.0,0.07,0.06,0.07,-0.370000,-84.090910,2646,10176.0,0.761721,False,REGULAR,USD,18
62,MSFT210129P00222500,2021-01-28,20:57:46,222.5,0.08,0.07,0.10,-0.620000,-88.571430,1012,4027.0,0.703128,False,REGULAR,USD,19
63,MSFT210129P00225000,2021-01-28,20:58:35,225.0,0.12,0.08,0.14,-0.720000,-85.714290,2938,10603.0,0.636722,False,REGULAR,USD,20
64,MSFT210129P00227500,2021-01-28,20:57:33,227.5,0.11,0.09,0.30,-1.190000,-91.538460,2909,3807.0,0.605473,False,REGULAR,USD,21
65,MSFT210129P00230000,2021-01-28,20:59:21,230.0,0.16,0.16,0.20,-1.710000,-91.443855,6269,5328.0,0.500982,False,REGULAR,USD,22
66,MSFT210129P00232500,2021-01-28,20:58:58,232.5,0.25,0.25,0.33,-2.740000,-91.638794,4227,3468.0,0.446295,False,REGULAR,USD,23
67,MSFT210129P00235000,2021-01-28,20:59:57,235.0,0.55,0.42,0.59,-3.460000,-86.284294,9972,2844.0,0.396002,False,REGULAR,USD,24
68,MSFT210129P00237500,2021-01-28,20:58:50,237.5,1.07,0.94,1.20,-4.480000,-80.720720,12990,1148.0,0.367194,False,REGULAR,USD,25
69,MSFT210129P00240000,2021-01-28,20:59:37,240.0,2.05,2.05,2.60,-6.010000,-74.565760,15891,2901.0,0.403815,True,REGULAR,USD,26
70,MSFT210129P00242500,2021-01-28,20:59:20,242.5,3.95,3.80,4.50,-5.900001,-59.898480,3850,337.0,0.454595,True,REGULAR,USD,27
71,MSFT210129P00245000,2021-01-28,20:54:02,245.0,6.03,4.80,7.50,-7.869999,-56.618702,2702,135.0,0.732425,True,REGULAR,USD,28
72,MSFT210129P00247500,2021-01-28,20:58:18,247.5,8.25,7.50,9.45,-4.500000,-35.294117,116,331.0,0.725589,True,REGULAR,USD,29
73,MSFT210129P00250000,2021-01-28,20:30:33,250.0,10.63,9.75,13.30,-7.499999,-41.367893,150,197.0,0.695316,True,REGULAR,USD,30
74,MSFT210129P00252500,2021-01-28,18:14:54,252.5,11.12,12.50,14.35,-5.429999,-32.809666,472,19.0,0.935548,True,REGULAR,USD,31
75,MSFT210129P00255000,2021-01-27,17:04:17,255.0,20.25,14.25,18.30,0.000000,0.000000,2,22.0,0.756838,True,REGULAR,USD,32
76,MSFT210129P00257500,2021-01-28,20:00:31,257.5,16.80,16.70,21.00,-3.450001,-17.037040,1,30.0,0.900392,True,REGULAR,USD,33
77,MSFT210129P00260000,2021-01-28,20:02:29,260.0,19.50,19.80,22.35,-5.860001,-23.107258,146,116.0,0.562504,True,REGULAR,USD,34
78,MSFT210129P00315000,2021-01-28,20:53:56,315.0,74.95,75.25,78.45,-7.100006,-8.653268,130,NaN,3.081057,True,REGULAR,USD,35
79,MSFT210129P00320000,2021-01-28,14:46:56,320.0,83.75,80.25,81.95,-3.400002,-3.901321,152,NaN,2.062505,True,REGULAR,USD,36
